Geneid,"RNA STAR on dataset 4, 5, and others: mapped.bam"
CG14292,0
EndoA,3048
CG14291,29
Xrp1,1476
Mpc1,744
CG42613,2299
CG43732,8585
euc,510
Smu1,28
dnk,88
snRNP-U1-C,84
gukh,219
CG6005,226
CG14286,19
CG14285,4
GatA,6
NP15.6,1161
P5cr,148
Prp18,42
CG6013,114
CG6026,1
cdi,1143
mRpL55,71
ATPsynD,2130
CG6040,410
Cyp12a5,16
Cyp12a4,136
Ppcs,204
CG5835,477
CG11779,114
nos,0
Nsun5,43
CG42359,81
sqz,48
CG14282,1
CG5555,322
CG31475,164
cry,536
vib,1973
CG11703,0
CG5250,0
CG3773,53
unc79,140
CG5217,0
CG14280,8
CG44174,0
Dl,492
CG43203,0
Ino80,7
CG3581,0
CG31404,0
CG31245,0
CG3734,0
CG18493,0
CG3739,0
CG31244,1
CG5316,759
CG11626,3
CG31221,6293
CG3517,0
Dys,897
CG6255,1
CG15025,0
Cpr92A,0
CG7333,0
CG7342,89
CG17751,0
CG17752,0
CG16727,0
CG6231,1123
subdued,239
CG34138,4
Vha13,4892
Nup58,15
CG6195,63
CG31220,0
CG31219,150
CG6184,141
ort,30
CG7432,1
Naam,430
CG34286,0
GluClalpha,1309
CG6300,0
CG11659,0
CG11391,185
CG11407,230
CG11453,5
bnl,29
CG31459,1
CG4662,725
Ire1,310
CG11447,32
CG4572,195
CG4686,275
CG4562,463
CG17186,6
Arc42,126
Ask1,158
